|                 Tasks                 |Version|     Filter     |n-shot|  Metric   |   |Value |   |Stderr|
|  - machine_learning                   |      1|none            |     0|acc        |↑  |0.4821|±  |0.0474|
|gsm8k                                  |      3|flexible-extract|     5|exact_match|↑  |0.8408|±  |0.0101|
|                                       |       |strict-match    |     5|exact_match|↑  |0.8158|±  |0.0107|
|toxigen                                |      1|none            |     0|acc        |↑  |0.8511|±  |0.0116|
|                                       |       |none            |     0|acc_norm   |↑  |0.8447|±  |0.0118|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|-----:|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |   |0.6320|±  |0.0038|
| - humanities     |      2|none  |     0|acc   |↑  |0.5855|±  |0.0068|
| - other          |      2|none  |     0|acc   |↑  |0.7187|±  |0.0078|
| - social sciences|      2|none  |     0|acc   |↑  |0.7455|±  |0.0076|
| - stem           |      2|none  |     0|acc   |↑  |0.5052|±  |0.0084|
