|                 Tasks                 |Version|     Filter     |n-shot|  Metric   |   |Value |   |Stderr|
|toxigen                                |      1|none            |     0|acc        |↑  |0.6809|±  |0.0152|
|                                       |       |none            |     0|acc_norm   |↑  |0.7191|±  |0.0147|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|-----:|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |   |0.6234|±  |0.0039|
| - humanities     |      2|none  |     0|acc   |↑  |0.5892|±  |0.0069|
| - other          |      2|none  |     0|acc   |↑  |0.7010|±  |0.0080|
| - social sciences|      2|none  |     0|acc   |↑  |0.7267|±  |0.0079|
| - stem           |      2|none  |     0|acc   |↑  |0.4973|±  |0.0084|
